word,beta,psi,highlight
situations,-0.02947412409093222,4.135670311440586,none
peacetime,0.321146723660019,3.2502843161691306,none
contingencies,0.38963463293335016,2.254414367684606,none
territory,-0.0988848412642049,3.3668904777550774,none
sovereignty,-0.4014797393778911,2.9556660655842872,none
maritime,0.2785979425837574,4.708598054025682,darkgreen
economic,0.6143662720189549,4.123358529519737,none
interests,-0.0062183104607937394,3.6838619968574773,none
etc,0.05149561157658279,4.695057935039507,none
trends,-0.8903213893634114,2.8412836248359605,none
neighboring,0.4644118602156003,3.5909120818116924,none
states,-0.5138068572763677,6.198953155405962,none
modernize,-2.5696285996775385,0.8053653421992772,none
reinforce,1.769113501239422,2.6281237921200518,none
capabilities,0.15153731942049875,5.662963921965176,none
including,-0.19453771229307107,5.940978083840862,none
area,0.22258089865410205,5.015800882110028,none
serious,-0.21194041290705423,3.304494261314002,none
col2,-0.2537494027228398,3.7645568493737422,none
recent,-1.3425134876301335,3.498566728760762,none
related,0.5259081166501076,4.520033700665497,none
around,0.0551173978652563,3.7272998207520582,none
russia,-0.397664866061289,4.895501305409477,blue
korea’s,1.4807460547631193,4.072702510146421,none
provocations,2.288320078456371,3.3500904451781515,none
nuclear,-0.06626760183672124,5.9285895853352,darkgreen
weapons,-0.15806023424776494,5.354244404101112,none
missiles,0.34909485963909326,4.905615432308792,none
rapid,-0.8483691411832719,3.6787336947335496,none
strengthening,0.39142248250188477,4.50081151350905,none
china,-0.15096923571981824,5.9047026638485685,blue
power,0.15324166521478572,4.468803168902473,none
expansion,1.1467649674127731,3.27128861629001,none
east,-0.012097220693000128,5.096774584719657,none
sea,0.19434326077204153,5.27917046701505,none
leading,0.12880771109453484,2.7988920927605188,none
changes,0.20908158505926386,4.5834312668640464,none
pacific,-1.581918504423834,4.757409062196639,none
ocean,-1.6959518450249453,2.929689084284163,none
common,0.06692301593589975,3.53654794930166,none
balance,-0.6572498498281362,3.0064061434243534,none
side,-1.0464262612161659,2.453983930607958,none
using,0.10516568181112936,4.17738672261606,none
bomber,-1.651359600153368,1.8780781280098167,darkgreen
armed,0.28270259749823234,4.622283954509928,none
fl,-2.725446181448534,0.9744157872010438,none
th,0.26879684431407364,4.919891255644081,none
part,-0.24123886381557755,4.588035308187675,none
    ,1.048378148383719,3.6519154335459953,none
european,-0.09477782025028278,2.6023917285850504,none
army,0.4562684841126029,5.109674568150463,none
approx,0.055221546421525304,4.676417202134774,none
navy,0.484269251865895,4.7781605486846965,darkgreen
air,0.15568938290462728,6.155023219314472,none
chapter,-0.8781333156957432,4.103531706462199,none
marines,-2.875574917201577,1.134193308738002,none
total,0.11086703144154794,4.699528252879123,none
united,-0.1402442743365299,6.005742009820437,none
command,0.6705310479113745,5.738090576912948,none
despite,-0.08610086166841256,3.1347530481191934,none
changing,-0.20759532596685654,3.3754140577477303,none
relative,-2.16276437129177,2.2746434584440456,none
terms,-0.5176030449951309,3.522473635456501,none
united states,-0.8624557914439361,6.408105028328627,blue
powerful,-1.7949315842526494,1.9895339766610889,none
believed,-3.288686811625685,1.560543244910847,none
central,-0.1632309070451243,4.2305596569363955,none
assets,0.5647680009300582,3.278072534829551,none
stationed,-1.0553699959451155,2.7414714627904604,none
consistently,-0.38605329631712076,2.944607004731288,none
play,-0.9942902840764141,3.3806287558977637,none
role,-0.10229884427888226,4.244478707063796,none
ensuring,-0.41651282606894824,3.9289988975471286,none
asia-pacific,0.3083044675846721,4.321173936589873,none
naval,-0.10347011078505147,4.3753350687216805,none
presence,-2.7322802882908204,2.714885211135988,none
northern,0.09198097796759695,3.0877532561370034,none
move,0.9632168648830477,2.298294878835546,none
isr,-3.408515699383988,1.6810636420928577,none
intelligence,-0.26609376641722116,4.0354573372033595,darkgreen
surveillance,0.02235392754588738,4.310221514349412,darkgreen
reconnaissance,0.030394495479406907,3.899027393481755,none
quadrennial,-2.0083875768195782,2.77763112693805,none
qdr,-3.0894356174841713,3.949376457250295,none
released,-0.9690786616446979,3.479291193163353,none
expressed,0.2684762556550652,3.0361084619799223,none
africa,-0.8883898575011694,3.786890930177869,none
meanwhile,-0.764303616543453,2.9305625430912556,none
government,0.45283404779119313,5.581229003771243,none
budget,-0.4367947384144469,5.561023643534718,none
sequestration,-3.655038348386878,1.925211146339189,none
focus,-0.17356767659346833,3.707545087683089,none
spending,-3.174020723935533,3.0554150265541566,none
initiated,-1.2505292561525054,2.213762116863636,none
rebalancing,-3.586156657101387,1.8574789101294793,none
impacts,-2.875574917201577,1.134193308738002,none
emphasizes,-1.8021981493431796,2.624297298775994,none
articulated,-2.8200241699878057,1.0754058290558317,none
strategic,0.13230440680258354,5.450600835894576,none
risks,-3.606086347873341,1.8771133397474606,none
mandatory,-0.27612880632362674,3.78046930061453,none
guidance,-1.5327995396970366,3.9868092417231464,none
strengthen,0.4880356423989839,4.267973762193809,none
relations,0.18660754083254374,4.426464117079495,none
allies,-1.791205952407288,3.669917900304508,blue
deployed,-0.3375481675910042,4.588899601894259,none
attention,0.026181991799245713,2.649071240358691,none
paid,-0.5889272178020305,3.3120362267894072,none
expand,0.03471514569780156,4.090133313614858,none
collaboration,-1.2936016687731093,2.91450050076692,none
afghanistan,-0.4222222964433292,3.93305743017768,blue
cuts,-3.0280324419508764,2.9429627903985702,none
impact,-1.5212377423131511,3.079814435440248,none
