"","file_names","country_name","year","title","language"
"321","guatemala_2012_NationalSecurityPolicy.pdf","guatemala","2012","National Security Policy","eng"
"322","guatemala_2013_NationalDefensePolicy_noneng.pdf","guatemala","2013","National Defense Policy","noneng"
"323","guatemala_2015_NationalDefenseBook_noneng.pdf","guatemala","2015","National Defense Book","noneng"
"324","guatemala_2015_SecurityWhitePaper_noneng.pdf","guatemala","2015","Security White Paper","noneng"
"325","guatemala_2017_NationalSecurityPolicy_noneng.pdf","guatemala","2017","National Security Policy","noneng"
"326","guatemala_2024_StrategicSecurityAgenda_noneng.pdf","guatemala","2024","Strategic Security Agenda","noneng"
"327","haiti_2015_WhitePaper_noneng.pdf","haiti","2015","White Paper","noneng"
"328","honduras_2005_LibroDeLaDefensaNacional_noneng.pdf","honduras","2005","Libro De La Defensa Nacional","noneng"
"329","hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.pdf","hungary","1998","Basic Principles Of Security And Defense Policy","noneng"
"330","hungary_1998_SecurityDefensePolicy.pdf","hungary","1998","Security Defense Policy","eng"
"331","hungary_2004_NationalSecurityStrategy.pdf","hungary","2004","National Security Strategy","eng"
"332","hungary_2007_NationalSecurityStrategy.pdf","hungary","2007","National Security Strategy","eng"
"333","hungary_2012_NationalMilitaryStrategy.pdf","hungary","2012","National Military Strategy","eng"
"334","hungary_2012_NationalSecurityStrategy.pdf","hungary","2012","National Security Strategy","eng"
"335","hungary_2013_ NationalCyberSecurityStrategy.pdf","hungary","2013","National Cyber Security Strategy","eng"
"336","hungary_2014_NationalMilitaryStrategy_noneng.pdf","hungary","2014","National Military Strategy","noneng"
"337","hungary_2020_NationalSecurityStrategy_noneng.pdf","hungary","2020","National Security Strategy","noneng"
"338","hungary_2021_NationalMilitaryStrategy.pdf","hungary","2021","National Military Strategy","eng"
"339","iceland_2014_NationalCyberSecurityStrategy_noneng.pdf","iceland","2014","National Cyber Security Strategy","noneng"
"340","iceland_2014_NationalCyberSecurityStrategy.pdf","iceland","2014","National Cyber Security Strategy","eng"
"341","iceland_2016_NationalSecurityPolicy.pdf","iceland","2016","National Security Policy","eng"
"342","india_2002_AnnualReport.pdf","india","2002","Annual Report","eng"
"343","india_2003_AnnualReport.pdf","india","2003","Annual Report","eng"
"344","india_2004_AnnualReport.pdf","india","2004","Annual Report","eng"
"345","india_2004_ArmyDoctrine.pdf","india","2004","Army Doctrine","eng"
"346","india_2005_AnnualReport.pdf","india","2005","Annual Report","eng"
"347","india_2006_AnnualReport.pdf","india","2006","Annual Report","eng"
"348","india_2007_AnnualReport.pdf","india","2007","Annual Report","eng"
"349","india_2008_AnnualReport.pdf","india","2008","Annual Report","eng"
"350","india_2009_AnnualReport.pdf","india","2009","Annual Report","eng"
"351","india_2010_AnnualReport.pdf","india","2010","Annual Report","eng"
"352","india_2011_AnnualReport.pdf","india","2011","Annual Report","eng"
"353","india_2012_AirForceDoctrine.pdf","india","2012","Air Force Doctrine","eng"
"354","india_2012_AnnualReport.pdf","india","2012","Annual Report","eng"
"355","india_2013_AnnualReport.pdf","india","2013","Annual Report","eng"
"356","india_2014_AnnualReport.pdf","india","2014","Annual Report","eng"
"357","india_2015_AnnualReport.pdf","india","2015","Annual Report","eng"
"358","india_2016_AnnualReport.pdf","india","2016","Annual Report","eng"
"359","india_2017_AnnualReport.pdf","india","2017","Annual Report","eng"
"360","india_2018_AnnualReport.pdf","india","2018","Annual Report","eng"
"361","india_2019_NationalSecurityStrategy.pdf","india","2019","National Security Strategy","eng"
"362","indonesia_2003_DefendingTheCountry.pdf","indonesia","2003","Defending The Country","eng"
"363","indonesia_2015_DefenseWhitePaper.pdf","indonesia","2015","Defense White Paper","eng"
"364","iraq_2007_NationalSecurityStrategy.pdf","iraq","2007","National Security Strategy","eng"
"365","ireland_2000_WhitePaperOnDefence.pdf","ireland","2000","White Paper On Defence","eng"
"366","ireland_2003_StrategyStatement.pdf","ireland","2003","Strategy Statement","eng"
"367","ireland_2007_WhitePaperOnDefence.pdf","ireland","2007","White Paper On Defence","eng"
"368","ireland_2008_StrategyStatement.pdf","ireland","2008","Strategy Statement","eng"
"369","ireland_2011_StrategyStatement.pdf","ireland","2011","Strategy Statement","eng"
"370","ireland_2013_GreenPaper.pdf","ireland","2013","Green Paper","eng"
"371","ireland_2015_StrategyStatement.pdf","ireland","2015","Strategy Statement","eng"
"372","ireland_2015_WhitePaper.pdf","ireland","2015","White Paper","eng"
"373","ireland_2017_StrategyStatement.pdf","ireland","2017","Strategy Statement","eng"
"374","ireland_2019_WhitePaper.pdf","ireland","2019","White Paper","eng"
"375","israel_2015_DefenseDoctrine.pdf","israel","2015","Defense Doctrine","eng"
"376","israel_2016_DeterringTerror.pdf","israel","2016","Deterring Terror","eng"
"377","italy_2002_LibroBianco_noneng.pdf","italy","2002","Libro Bianco","noneng"
"378","italy_2004_ChodsStrategicConcept.pdf","italy","2004","Chods Strategic Concept","eng"
"379","italy_2004_ConcettoStrategico_noneng.pdf","italy","2004","Concetto Strategico","noneng"
"380","italy_2005_IlConcettoStrategico_noneng.pdf","italy","2005","Il Concetto Strategico","noneng"
